"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
8.91562643581733e-07,0.873425581697892,0.51,0.369,0.00178312528716347,"14","Gclc"
1.06307101756587e-06,1.03925359873903,0.686,0.611,0.00212614203513175,"14","Tgfb1"
1.07585652622058e-06,1.48343259241501,0.5,0.374,0.00215171305244116,"14","Mob1b"
1.17077787596908e-06,1.42532983857052,0.539,0.407,0.00234155575193816,"14","Mrps28"
1.22830585760075e-06,1.37199694361649,0.333,0.206,0.00245661171520151,"14","Steap3"
1.27227816232477e-06,3.27245935429924,0.314,0.178,0.00254455632464954,"14","Fam110b"
1.27528549588041e-06,0.979953565212794,0.294,0.165,0.00255057099176082,"14","Myh10"
1.45176763168976e-06,1.17111286892581,0.451,0.323,0.00290353526337951,"14","Slc22a23"
1.87742027070938e-06,1.69681007266609,0.422,0.312,0.00375484054141876,"14","Tmem176a"
1.91600500319959e-06,0.665503477606737,0.549,0.426,0.00383201000639917,"14","Txndc11"
1.95128150497013e-06,3.59587156468588,0.176,0.411,0.00390256300994027,"14","Gpnmb"
2.18274206033211e-06,1.46252396989233,0.598,0.557,0.00436548412066422,"14","AW112010"
2.3711705362809e-06,0.378187824622966,0.539,0.38,0.00474234107256179,"14","Ell2"
2.37994674448313e-06,1.15392686272834,0.608,0.527,0.00475989348896626,"14","Ehd4"
3.75639235544338e-06,2.17255136564285,0.137,0.317,0.00751278471088676,"14","Mmp12"
4.09749482168329e-06,1.07855720215753,0.539,0.4,0.00819498964336657,"14","Maml3"
5.13723249098012e-06,3.39289495809634,0.343,0.236,0.0102744649819602,"14","Apoc1"
5.43046342047137e-06,0.751194503254452,0.696,0.574,0.0108609268409427,"14","Zfand5"
5.80614537263811e-06,0.592777952211341,0.471,0.386,0.0116122907452762,"14","Ctsl"
6.15982022371368e-06,1.53011463749498,0.294,0.165,0.0123196404474274,"14","Sult1a1"
6.85620679423969e-06,3.84698918145837,0.304,0.116,0.0137124135884794,"14","Dnase1l3"
9.16756780293175e-06,0.479098995564504,0.265,0.141,0.0183351356058635,"14","Clmp"
9.25669797363122e-06,1.90423218097836,0.333,0.204,0.0185133959472624,"14","P2ry12"
9.59502150650791e-06,2.0876324359033,0.363,0.187,0.0191900430130158,"14","Enpp1"
9.99771998795084e-06,1.30259803292222,0.48,0.349,0.0199954399759017,"14","Dock1"
1.01193755783391e-05,1.17164247955416,0.569,0.491,0.0202387511566782,"14","Comt"
1.07087656519545e-05,0.760343648559174,0.549,0.423,0.0214175313039091,"14","Pign"
1.07322869252941e-05,0.755412090877466,0.794,0.681,0.0214645738505882,"14","Vav3"
1.29712906963401e-05,0.528181110049214,0.706,0.58,0.0259425813926802,"14","Tlk1"
1.52549518964623e-05,1.60093052246736,0.529,0.432,0.0305099037929246,"14","Phc2"
1.82470827652728e-05,1.50982967966422,0.392,0.248,0.0364941655305456,"14","Znrf3"
1.93139759558862e-05,0.842985538973023,0.382,0.266,0.0386279519117724,"14","Atad3a"
2.33102046190196e-05,0.341433550157632,0.51,0.414,0.0466204092380393,"14","Pecam1"
2.68518081952617e-05,0.591413644622479,0.657,0.539,0.0537036163905233,"14","Vps13a"
2.95302859005088e-05,0.917552463921331,0.588,0.48,0.0590605718010177,"14","Arhgef3"
3.05721843682179e-05,1.83819400700597,0.441,0.34,0.0611443687364359,"14","Bcl2a1b"
3.18537483224133e-05,0.51620569068734,0.353,0.262,0.0637074966448266,"14","Nprl3"
3.36953026242739e-05,0.578065601859454,0.284,0.176,0.0673906052485479,"14","Tjp1"
4.17783322137406e-05,1.67146307603204,0.451,0.356,0.0835566644274811,"14","Tmem140"
5.74308974001474e-05,1.35558500459742,0.52,0.427,0.114861794800295,"14","Arhgap31"
5.80737386972429e-05,1.03746678577938,0.5,0.407,0.116147477394486,"14","Nlk"
